,Elab,x,Q2,obs,target,lepton beam,current,units,value,stat_u,sys_u,*norm_c
391,4.223,0.76,2.42,F2,n/d,e_minus,NC,1,0.587,0.103,0.055,0.026415
392,4.223,0.75,2.416,F2,n/d,e_minus,NC,1,0.352,0.084,0.032,0.01584
393,4.223,0.739,2.415,F2,n/d,e_minus,NC,1,0.424,0.086,0.036,0.01908
394,4.223,0.727,2.418,F2,n/d,e_minus,NC,1,0.47,0.089,0.037,0.02115
395,4.223,0.715,2.416,F2,n/d,e_minus,NC,1,0.35,0.075,0.027,0.01575
396,4.223,0.703,2.419,F2,n/d,e_minus,NC,1,0.24,0.065,0.017,0.0108
397,4.223,0.692,2.419,F2,n/d,e_minus,NC,1,0.296,0.072,0.02,0.01332
398,4.223,0.681,2.416,F2,n/d,e_minus,NC,1,0.373,0.076,0.024,0.016785
399,4.223,0.673,2.42,F2,n/d,e_minus,NC,1,0.343,0.071,0.021,0.015435
400,4.223,0.663,2.419,F2,n/d,e_minus,NC,1,0.43,0.075,0.025,0.01935
401,4.223,0.653,2.421,F2,n/d,e_minus,NC,1,0.355,0.07,0.02,0.015975
402,4.223,0.642,2.42,F2,n/d,e_minus,NC,1,0.371,0.068,0.02,0.016695
403,4.223,0.631,2.418,F2,n/d,e_minus,NC,1,0.507,0.076,0.026,0.022815
404,4.223,0.621,2.419,F2,n/d,e_minus,NC,1,0.343,0.063,0.017,0.015435
405,4.223,0.613,2.419,F2,n/d,e_minus,NC,1,0.337,0.061,0.015,0.015165
406,4.223,0.6,2.418,F2,n/d,e_minus,NC,1,0.296,0.056,0.013,0.01332
407,4.223,0.593,2.42,F2,n/d,e_minus,NC,1,0.287,0.056,0.012,0.012915
408,4.223,0.585,2.418,F2,n/d,e_minus,NC,1,0.371,0.061,0.015,0.016695
409,4.223,0.575,2.417,F2,n/d,e_minus,NC,1,0.493,0.067,0.019,0.022185
410,4.223,0.566,2.415,F2,n/d,e_minus,NC,1,0.41,0.062,0.015,0.01845
411,4.223,0.554,2.412,F2,n/d,e_minus,NC,1,0.456,0.064,0.016,0.02052
412,4.223,0.887,2.877,F2,n/d,e_minus,NC,1,0.305,0.113,0.053,0.013725
413,4.223,0.872,2.875,F2,n/d,e_minus,NC,1,0.305,0.142,0.049,0.013725
414,4.223,0.862,2.875,F2,n/d,e_minus,NC,1,0.406,0.168,0.062,0.01827
415,4.223,0.851,2.88,F2,n/d,e_minus,NC,1,0.788,0.212,0.115,0.03546
416,4.223,0.838,2.875,F2,n/d,e_minus,NC,1,0.458,0.175,0.063,0.02061
417,4.223,0.824,2.87,F2,n/d,e_minus,NC,1,0.402,0.16,0.053,0.01809
418,4.223,0.815,2.873,F2,n/d,e_minus,NC,1,0.537,0.16,0.066,0.024165
419,4.223,0.802,2.87,F2,n/d,e_minus,NC,1,0.508,0.146,0.059,0.02286
420,4.223,0.79,2.867,F2,n/d,e_minus,NC,1,0.65,0.15,0.071,0.02925
421,4.223,0.778,2.873,F2,n/d,e_minus,NC,1,0.248,0.097,0.025,0.01116
422,4.223,0.767,2.863,F2,n/d,e_minus,NC,1,0.263,0.104,0.026,0.011835
423,4.223,0.759,2.874,F2,n/d,e_minus,NC,1,0.248,0.1,0.023,0.01116
424,4.223,0.752,2.867,F2,n/d,e_minus,NC,1,0.342,0.116,0.031,0.01539
425,4.223,0.742,2.874,F2,n/d,e_minus,NC,1,0.355,0.117,0.031,0.015975
426,4.223,0.725,2.87,F2,n/d,e_minus,NC,1,0.392,0.114,0.031,0.01764
427,4.223,0.715,2.864,F2,n/d,e_minus,NC,1,0.437,0.116,0.033,0.019665
428,4.223,0.703,2.87,F2,n/d,e_minus,NC,1,0.378,0.107,0.027,0.01701
429,4.223,0.701,2.863,F2,n/d,e_minus,NC,1,0.241,0.094,0.017,0.010845
430,4.223,0.896,3.418,F2,n/d,e_minus,NC,1,0.11,0.089,0.02,0.00495
431,4.223,0.877,3.414,F2,n/d,e_minus,NC,1,0.082,0.064,0.014,0.00369
432,5.262,0.09,0.602,F2,n/d,e_minus,NC,1,0.231,0.31,0.001,0.010395
433,5.262,0.147,0.732,F2,n/d,e_minus,NC,1,0.376,0.205,0.002,0.01692
434,5.262,0.146,0.736,F2,n/d,e_minus,NC,1,0.1,0.171,0.0,0.0045
435,5.262,0.142,0.737,F2,n/d,e_minus,NC,1,0.21,0.147,0.001,0.00945
436,5.262,0.139,0.741,F2,n/d,e_minus,NC,1,0.42,0.165,0.002,0.0189
437,5.262,0.135,0.743,F2,n/d,e_minus,NC,1,0.238,0.12,0.001,0.01071
438,5.262,0.134,0.742,F2,n/d,e_minus,NC,1,0.312,0.119,0.001,0.01404
439,5.262,0.132,0.743,F2,n/d,e_minus,NC,1,0.329,0.111,0.001,0.014805
440,5.262,0.119,0.745,F2,n/d,e_minus,NC,1,0.194,0.073,0.001,0.00873
441,5.262,0.11,0.742,F2,n/d,e_minus,NC,1,0.24,0.056,0.001,0.0108
442,5.262,0.105,0.739,F2,n/d,e_minus,NC,1,0.332,0.049,0.001,0.01494
443,5.262,0.298,0.887,F2,n/d,e_minus,NC,1,1.007,0.538,0.009,0.045315
444,5.262,0.293,0.892,F2,n/d,e_minus,NC,1,0.541,0.31,0.005,0.024345
445,5.262,0.287,0.896,F2,n/d,e_minus,NC,1,1.017,0.426,0.009,0.045765
446,5.262,0.27,0.892,F2,n/d,e_minus,NC,1,0.472,0.242,0.004,0.02124
447,5.262,0.264,0.896,F2,n/d,e_minus,NC,1,0.075,0.14,0.001,0.003375
448,5.262,0.26,0.897,F2,n/d,e_minus,NC,1,0.223,0.128,0.002,0.010035
449,5.262,0.251,0.897,F2,n/d,e_minus,NC,1,0.462,0.166,0.003,0.02079
450,5.262,0.248,0.895,F2,n/d,e_minus,NC,1,0.667,0.171,0.005,0.030015
451,5.262,0.245,0.895,F2,n/d,e_minus,NC,1,0.374,0.112,0.003,0.01683
452,5.262,0.238,0.894,F2,n/d,e_minus,NC,1,0.503,0.126,0.003,0.022635
453,5.262,0.234,0.894,F2,n/d,e_minus,NC,1,0.493,0.113,0.003,0.022185
454,5.262,0.228,0.894,F2,n/d,e_minus,NC,1,0.456,0.099,0.003,0.02052
455,5.262,0.224,0.893,F2,n/d,e_minus,NC,1,0.422,0.084,0.003,0.01899
456,5.262,0.221,0.893,F2,n/d,e_minus,NC,1,0.486,0.086,0.003,0.02187
457,5.262,0.214,0.893,F2,n/d,e_minus,NC,1,0.466,0.075,0.003,0.02097
458,5.262,0.211,0.892,F2,n/d,e_minus,NC,1,0.428,0.067,0.003,0.01926
459,5.262,0.206,0.892,F2,n/d,e_minus,NC,1,0.382,0.061,0.002,0.01719
460,5.262,0.202,0.891,F2,n/d,e_minus,NC,1,0.438,0.059,0.003,0.01971
461,5.262,0.199,0.89,F2,n/d,e_minus,NC,1,0.434,0.056,0.002,0.01953
462,5.262,0.193,0.889,F2,n/d,e_minus,NC,1,0.422,0.05,0.002,0.01899
463,5.262,0.19,0.888,F2,n/d,e_minus,NC,1,0.477,0.049,0.003,0.021465
464,5.262,0.187,0.887,F2,n/d,e_minus,NC,1,0.395,0.044,0.002,0.017775
465,5.262,0.183,0.885,F2,n/d,e_minus,NC,1,0.462,0.043,0.002,0.02079
466,5.262,0.18,0.883,F2,n/d,e_minus,NC,1,0.495,0.042,0.003,0.022275
467,5.262,0.175,0.881,F2,n/d,e_minus,NC,1,0.416,0.037,0.002,0.01872
468,5.262,0.173,0.88,F2,n/d,e_minus,NC,1,0.447,0.036,0.002,0.020115
469,5.262,0.169,0.879,F2,n/d,e_minus,NC,1,0.389,0.032,0.002,0.017505
470,5.262,0.166,0.877,F2,n/d,e_minus,NC,1,0.455,0.032,0.002,0.020475
471,5.262,0.163,0.876,F2,n/d,e_minus,NC,1,0.405,0.03,0.002,0.018225
472,5.262,0.16,0.874,F2,n/d,e_minus,NC,1,0.417,0.029,0.002,0.018765
473,5.262,0.157,0.873,F2,n/d,e_minus,NC,1,0.427,0.028,0.002,0.019215
474,5.262,0.154,0.871,F2,n/d,e_minus,NC,1,0.402,0.026,0.002,0.01809
475,5.262,0.151,0.869,F2,n/d,e_minus,NC,1,0.466,0.026,0.002,0.02097
476,5.262,0.148,0.868,F2,n/d,e_minus,NC,1,0.395,0.023,0.002,0.017775
477,5.262,0.146,0.866,F2,n/d,e_minus,NC,1,0.439,0.024,0.002,0.019755
478,5.262,0.143,0.864,F2,n/d,e_minus,NC,1,0.4,0.023,0.002,0.018
479,5.262,0.14,0.861,F2,n/d,e_minus,NC,1,0.455,0.033,0.002,0.020475
480,5.262,0.123,0.85,F2,n/d,e_minus,NC,1,0.057,0.01,0.0,0.002565
481,5.262,0.747,1.076,F2,n/d,e_minus,NC,1,0.333,0.205,0.025,0.014985
482,5.262,0.722,1.077,F2,n/d,e_minus,NC,1,0.289,0.162,0.02,0.013005
483,5.262,0.704,1.075,F2,n/d,e_minus,NC,1,0.462,0.211,0.03,0.02079
484,5.262,0.681,1.075,F2,n/d,e_minus,NC,1,0.483,0.203,0.028,0.021735
485,5.262,0.659,1.076,F2,n/d,e_minus,NC,1,0.631,0.186,0.033,0.028395
486,5.262,0.644,1.075,F2,n/d,e_minus,NC,1,0.609,0.142,0.029,0.027405
487,5.262,0.623,1.074,F2,n/d,e_minus,NC,1,0.586,0.136,0.026,0.02637
488,5.262,0.606,1.074,F2,n/d,e_minus,NC,1,0.726,0.139,0.029,0.03267
489,5.262,0.589,1.072,F2,n/d,e_minus,NC,1,0.302,0.088,0.011,0.01359
490,5.262,0.575,1.072,F2,n/d,e_minus,NC,1,0.328,0.088,0.011,0.01476
491,5.262,0.557,1.071,F2,n/d,e_minus,NC,1,0.377,0.089,0.012,0.016965
492,5.262,0.541,1.07,F2,n/d,e_minus,NC,1,0.373,0.087,0.011,0.016785
493,5.262,0.53,1.069,F2,n/d,e_minus,NC,1,0.476,0.091,0.013,0.02142
494,5.262,0.514,1.067,F2,n/d,e_minus,NC,1,0.393,0.079,0.01,0.017685
495,5.262,0.499,1.067,F2,n/d,e_minus,NC,1,0.412,0.079,0.01,0.01854
496,5.262,0.488,1.067,F2,n/d,e_minus,NC,1,0.289,0.066,0.007,0.013005
497,5.262,0.475,1.065,F2,n/d,e_minus,NC,1,0.34,0.065,0.007,0.0153
498,5.262,0.463,1.064,F2,n/d,e_minus,NC,1,0.377,0.062,0.008,0.016965
499,5.262,0.45,1.063,F2,n/d,e_minus,NC,1,0.417,0.063,0.008,0.018765
500,5.262,0.439,1.061,F2,n/d,e_minus,NC,1,0.44,0.058,0.008,0.0198
501,5.262,0.429,1.06,F2,n/d,e_minus,NC,1,0.497,0.056,0.009,0.022365
502,5.262,0.415,1.059,F2,n/d,e_minus,NC,1,0.343,0.048,0.006,0.015435
503,5.262,0.408,1.058,F2,n/d,e_minus,NC,1,0.449,0.049,0.007,0.020205
504,5.262,0.395,1.056,F2,n/d,e_minus,NC,1,0.371,0.044,0.005,0.016695
505,5.262,0.387,1.055,F2,n/d,e_minus,NC,1,0.298,0.039,0.004,0.01341
506,5.262,0.379,1.054,F2,n/d,e_minus,NC,1,0.362,0.041,0.005,0.01629
507,5.262,0.369,1.053,F2,n/d,e_minus,NC,1,0.475,0.043,0.006,0.021375
508,5.262,0.36,1.051,F2,n/d,e_minus,NC,1,0.39,0.038,0.005,0.01755
509,5.262,0.352,1.05,F2,n/d,e_minus,NC,1,0.437,0.038,0.005,0.019665
510,5.262,0.344,1.049,F2,n/d,e_minus,NC,1,0.428,0.036,0.005,0.01926
511,5.262,0.337,1.047,F2,n/d,e_minus,NC,1,0.458,0.035,0.005,0.02061
512,5.262,0.329,1.046,F2,n/d,e_minus,NC,1,0.422,0.033,0.005,0.01899
513,5.262,0.322,1.045,F2,n/d,e_minus,NC,1,0.379,0.03,0.004,0.017055
514,5.262,0.314,1.044,F2,n/d,e_minus,NC,1,0.377,0.029,0.004,0.016965
515,5.262,0.307,1.042,F2,n/d,e_minus,NC,1,0.362,0.027,0.003,0.01629
516,5.262,0.301,1.041,F2,n/d,e_minus,NC,1,0.443,0.029,0.004,0.019935
517,5.262,0.294,1.039,F2,n/d,e_minus,NC,1,0.424,0.028,0.004,0.01908
518,5.262,0.288,1.038,F2,n/d,e_minus,NC,1,0.432,0.027,0.004,0.01944
519,5.262,0.282,1.036,F2,n/d,e_minus,NC,1,0.385,0.025,0.003,0.017325
520,5.262,0.275,1.035,F2,n/d,e_minus,NC,1,0.4,0.025,0.003,0.018
521,5.262,0.271,1.033,F2,n/d,e_minus,NC,1,0.446,0.026,0.004,0.02007
522,5.262,0.264,1.032,F2,n/d,e_minus,NC,1,0.437,0.025,0.003,0.019665
523,5.262,0.258,1.031,F2,n/d,e_minus,NC,1,0.394,0.023,0.003,0.01773
524,5.262,0.254,1.029,F2,n/d,e_minus,NC,1,0.408,0.023,0.003,0.01836
525,5.262,0.248,1.027,F2,n/d,e_minus,NC,1,0.432,0.023,0.003,0.01944
526,5.262,0.243,1.026,F2,n/d,e_minus,NC,1,0.391,0.022,0.003,0.017595
527,5.262,0.238,1.025,F2,n/d,e_minus,NC,1,0.405,0.022,0.003,0.018225
528,5.262,0.233,1.023,F2,n/d,e_minus,NC,1,0.426,0.022,0.003,0.01917
529,5.262,0.228,1.022,F2,n/d,e_minus,NC,1,0.415,0.021,0.003,0.018675
530,5.262,0.225,1.02,F2,n/d,e_minus,NC,1,0.421,0.021,0.003,0.018945
531,5.262,0.22,1.019,F2,n/d,e_minus,NC,1,0.433,0.021,0.003,0.019485
532,5.262,0.216,1.017,F2,n/d,e_minus,NC,1,0.444,0.021,0.003,0.01998
533,5.262,0.212,1.016,F2,n/d,e_minus,NC,1,0.41,0.02,0.002,0.01845
534,5.262,0.208,1.015,F2,n/d,e_minus,NC,1,0.42,0.02,0.002,0.0189
535,5.262,0.205,1.014,F2,n/d,e_minus,NC,1,0.424,0.02,0.002,0.01908
536,5.262,0.202,1.013,F2,n/d,e_minus,NC,1,0.418,0.02,0.002,0.01881
537,5.262,0.197,1.013,F2,n/d,e_minus,NC,1,0.418,0.019,0.002,0.01881
538,5.262,0.194,1.012,F2,n/d,e_minus,NC,1,0.441,0.02,0.002,0.019845
539,5.262,0.191,1.012,F2,n/d,e_minus,NC,1,0.435,0.019,0.002,0.019575
540,5.262,0.187,1.012,F2,n/d,e_minus,NC,1,0.421,0.019,0.002,0.018945
541,5.262,0.185,1.011,F2,n/d,e_minus,NC,1,0.418,0.019,0.002,0.01881
542,5.262,0.181,1.011,F2,n/d,e_minus,NC,1,0.409,0.019,0.002,0.018405
543,5.262,0.178,1.011,F2,n/d,e_minus,NC,1,0.449,0.019,0.002,0.020205
544,5.262,0.175,1.011,F2,n/d,e_minus,NC,1,0.426,0.018,0.002,0.01917
545,5.262,0.172,1.01,F2,n/d,e_minus,NC,1,0.414,0.018,0.002,0.01863
546,5.262,0.169,1.01,F2,n/d,e_minus,NC,1,0.446,0.019,0.002,0.02007
547,5.262,0.166,1.009,F2,n/d,e_minus,NC,1,0.451,0.019,0.002,0.020295
548,5.262,0.164,1.008,F2,n/d,e_minus,NC,1,0.434,0.018,0.002,0.01953
549,5.262,0.161,1.008,F2,n/d,e_minus,NC,1,0.431,0.018,0.002,0.019395
550,5.262,0.159,1.008,F2,n/d,e_minus,NC,1,0.419,0.018,0.002,0.018855
551,5.262,0.156,1.008,F2,n/d,e_minus,NC,1,0.436,0.018,0.002,0.01962
552,5.262,0.154,1.008,F2,n/d,e_minus,NC,1,0.437,0.018,0.002,0.019665
553,5.262,0.152,1.008,F2,n/d,e_minus,NC,1,0.438,0.018,0.002,0.01971
554,5.262,0.149,1.008,F2,n/d,e_minus,NC,1,0.44,0.018,0.002,0.0198
555,5.262,0.147,1.007,F2,n/d,e_minus,NC,1,0.455,0.018,0.002,0.020475
556,5.262,0.145,1.007,F2,n/d,e_minus,NC,1,0.455,0.019,0.002,0.020475
557,5.262,0.143,1.007,F2,n/d,e_minus,NC,1,0.44,0.018,0.002,0.0198
558,5.262,0.768,1.221,F2,n/d,e_minus,NC,1,0.22,0.037,0.019,0.0099
559,5.262,0.747,1.222,F2,n/d,e_minus,NC,1,0.433,0.056,0.034,0.019485
560,5.262,0.727,1.22,F2,n/d,e_minus,NC,1,0.524,0.058,0.038,0.02358
561,5.262,0.707,1.221,F2,n/d,e_minus,NC,1,0.663,0.058,0.043,0.029835
562,5.262,0.688,1.22,F2,n/d,e_minus,NC,1,0.699,0.053,0.041,0.031455
563,5.262,0.671,1.218,F2,n/d,e_minus,NC,1,0.754,0.051,0.041,0.03393
564,5.262,0.654,1.218,F2,n/d,e_minus,NC,1,0.689,0.045,0.035,0.031005
565,5.262,0.636,1.217,F2,n/d,e_minus,NC,1,0.604,0.04,0.028,0.02718
566,5.262,0.619,1.217,F2,n/d,e_minus,NC,1,0.532,0.037,0.023,0.02394
567,5.262,0.604,1.217,F2,n/d,e_minus,NC,1,0.45,0.034,0.018,0.02025
568,5.262,0.588,1.216,F2,n/d,e_minus,NC,1,0.439,0.033,0.016,0.019755
569,5.262,0.575,1.216,F2,n/d,e_minus,NC,1,0.377,0.032,0.013,0.016965
570,5.262,0.559,1.215,F2,n/d,e_minus,NC,1,0.387,0.032,0.012,0.017415
571,5.262,0.545,1.214,F2,n/d,e_minus,NC,1,0.436,0.033,0.013,0.01962
572,5.262,0.532,1.214,F2,n/d,e_minus,NC,1,0.377,0.031,0.011,0.016965
573,5.262,0.518,1.213,F2,n/d,e_minus,NC,1,0.435,0.032,0.012,0.019575
574,5.262,0.507,1.212,F2,n/d,e_minus,NC,1,0.355,0.028,0.009,0.015975
575,5.262,0.494,1.212,F2,n/d,e_minus,NC,1,0.357,0.028,0.008,0.016065
576,5.262,0.482,1.211,F2,n/d,e_minus,NC,1,0.451,0.029,0.01,0.020295
577,5.262,0.471,1.21,F2,n/d,e_minus,NC,1,0.428,0.027,0.009,0.01926
578,5.262,0.459,1.21,F2,n/d,e_minus,NC,1,0.453,0.027,0.009,0.020385
579,5.262,0.45,1.208,F2,n/d,e_minus,NC,1,0.402,0.025,0.008,0.01809
580,5.262,0.439,1.208,F2,n/d,e_minus,NC,1,0.428,0.025,0.008,0.01926
581,5.262,0.43,1.207,F2,n/d,e_minus,NC,1,0.399,0.024,0.007,0.017955
582,5.262,0.421,1.207,F2,n/d,e_minus,NC,1,0.411,0.024,0.007,0.018495
583,5.262,0.41,1.206,F2,n/d,e_minus,NC,1,0.35,0.022,0.005,0.01575
584,5.262,0.401,1.206,F2,n/d,e_minus,NC,1,0.406,0.023,0.006,0.01827
585,5.262,0.393,1.205,F2,n/d,e_minus,NC,1,0.386,0.022,0.006,0.01737
586,5.262,0.385,1.205,F2,n/d,e_minus,NC,1,0.368,0.022,0.005,0.01656
587,5.262,0.377,1.205,F2,n/d,e_minus,NC,1,0.405,0.022,0.005,0.018225
588,5.262,0.369,1.204,F2,n/d,e_minus,NC,1,0.433,0.022,0.006,0.019485
589,5.262,0.361,1.204,F2,n/d,e_minus,NC,1,0.403,0.021,0.005,0.018135
590,5.262,0.354,1.204,F2,n/d,e_minus,NC,1,0.404,0.02,0.005,0.01818
591,5.262,0.348,1.204,F2,n/d,e_minus,NC,1,0.387,0.02,0.005,0.017415
592,5.262,0.34,1.204,F2,n/d,e_minus,NC,1,0.424,0.021,0.005,0.01908
593,5.262,0.333,1.204,F2,n/d,e_minus,NC,1,0.428,0.021,0.005,0.01926
594,5.262,0.326,1.204,F2,n/d,e_minus,NC,1,0.377,0.019,0.004,0.016965
595,5.262,0.319,1.204,F2,n/d,e_minus,NC,1,0.359,0.019,0.004,0.016155
596,5.262,0.314,1.204,F2,n/d,e_minus,NC,1,0.428,0.02,0.004,0.01926
597,5.262,0.308,1.204,F2,n/d,e_minus,NC,1,0.407,0.02,0.004,0.018315
598,5.262,0.302,1.204,F2,n/d,e_minus,NC,1,0.427,0.02,0.004,0.019215
599,5.262,0.295,1.205,F2,n/d,e_minus,NC,1,0.459,0.021,0.004,0.020655
600,5.262,0.291,1.205,F2,n/d,e_minus,NC,1,0.442,0.02,0.004,0.01989
601,5.262,0.285,1.204,F2,n/d,e_minus,NC,1,0.432,0.02,0.004,0.01944
602,5.262,0.28,1.204,F2,n/d,e_minus,NC,1,0.434,0.02,0.004,0.01953
603,5.262,0.274,1.203,F2,n/d,e_minus,NC,1,0.443,0.02,0.004,0.019935
604,5.262,0.269,1.203,F2,n/d,e_minus,NC,1,0.411,0.019,0.003,0.018495
605,5.262,0.264,1.202,F2,n/d,e_minus,NC,1,0.438,0.02,0.003,0.01971
606,5.262,0.259,1.201,F2,n/d,e_minus,NC,1,0.426,0.02,0.003,0.01917
607,5.262,0.255,1.201,F2,n/d,e_minus,NC,1,0.382,0.019,0.003,0.01719
608,5.262,0.25,1.2,F2,n/d,e_minus,NC,1,0.404,0.019,0.003,0.01818
609,5.262,0.246,1.199,F2,n/d,e_minus,NC,1,0.413,0.019,0.003,0.018585
610,5.262,0.242,1.199,F2,n/d,e_minus,NC,1,0.44,0.019,0.003,0.0198
611,5.262,0.238,1.199,F2,n/d,e_minus,NC,1,0.422,0.019,0.003,0.01899
612,5.262,0.234,1.199,F2,n/d,e_minus,NC,1,0.407,0.019,0.003,0.018315
613,5.262,0.23,1.201,F2,n/d,e_minus,NC,1,0.419,0.019,0.003,0.018855
614,5.262,0.227,1.201,F2,n/d,e_minus,NC,1,0.446,0.019,0.003,0.02007
615,5.262,0.223,1.201,F2,n/d,e_minus,NC,1,0.456,0.019,0.003,0.02052
616,5.262,0.219,1.202,F2,n/d,e_minus,NC,1,0.391,0.018,0.002,0.017595
617,5.262,0.215,1.202,F2,n/d,e_minus,NC,1,0.411,0.019,0.003,0.018495
618,5.262,0.212,1.203,F2,n/d,e_minus,NC,1,0.441,0.019,0.003,0.019845
619,5.262,0.208,1.204,F2,n/d,e_minus,NC,1,0.4,0.018,0.002,0.018
620,5.262,0.205,1.203,F2,n/d,e_minus,NC,1,0.415,0.018,0.002,0.018675
621,5.262,0.202,1.204,F2,n/d,e_minus,NC,1,0.46,0.019,0.003,0.0207
622,5.262,0.198,1.203,F2,n/d,e_minus,NC,1,0.426,0.018,0.002,0.01917
623,5.262,0.195,1.202,F2,n/d,e_minus,NC,1,0.415,0.018,0.002,0.018675
624,5.262,0.192,1.201,F2,n/d,e_minus,NC,1,0.429,0.019,0.002,0.019305
625,5.262,0.189,1.2,F2,n/d,e_minus,NC,1,0.374,0.018,0.002,0.01683
626,5.262,0.186,1.199,F2,n/d,e_minus,NC,1,0.427,0.019,0.002,0.019215
627,5.262,0.184,1.198,F2,n/d,e_minus,NC,1,0.417,0.018,0.002,0.018765
628,5.262,0.181,1.198,F2,n/d,e_minus,NC,1,0.451,0.019,0.002,0.020295
629,5.262,0.179,1.199,F2,n/d,e_minus,NC,1,0.417,0.018,0.002,0.018765
630,5.262,0.176,1.2,F2,n/d,e_minus,NC,1,0.409,0.018,0.002,0.018405
631,5.262,0.174,1.201,F2,n/d,e_minus,NC,1,0.418,0.018,0.002,0.01881
632,5.262,0.171,1.202,F2,n/d,e_minus,NC,1,0.42,0.017,0.002,0.0189
633,5.262,0.794,1.43,F2,n/d,e_minus,NC,1,0.201,0.03,0.02,0.009045
634,5.262,0.775,1.43,F2,n/d,e_minus,NC,1,0.301,0.042,0.028,0.013545
635,5.262,0.757,1.431,F2,n/d,e_minus,NC,1,0.431,0.048,0.036,0.019395
636,5.262,0.739,1.43,F2,n/d,e_minus,NC,1,0.538,0.048,0.041,0.02421
637,5.262,0.722,1.428,F2,n/d,e_minus,NC,1,0.641,0.047,0.045,0.028845
638,5.262,0.705,1.429,F2,n/d,e_minus,NC,1,0.705,0.045,0.046,0.031725
639,5.262,0.688,1.429,F2,n/d,e_minus,NC,1,0.628,0.04,0.038,0.02826
640,5.262,0.672,1.429,F2,n/d,e_minus,NC,1,0.565,0.036,0.031,0.025425
641,5.262,0.656,1.43,F2,n/d,e_minus,NC,1,0.532,0.035,0.027,0.02394
642,5.262,0.641,1.428,F2,n/d,e_minus,NC,1,0.417,0.031,0.02,0.018765
643,5.262,0.626,1.43,F2,n/d,e_minus,NC,1,0.383,0.03,0.017,0.017235
644,5.262,0.611,1.429,F2,n/d,e_minus,NC,1,0.357,0.029,0.015,0.016065
645,5.262,0.598,1.429,F2,n/d,e_minus,NC,1,0.369,0.029,0.014,0.016605
646,5.262,0.585,1.429,F2,n/d,e_minus,NC,1,0.394,0.03,0.014,0.01773
647,5.262,0.573,1.428,F2,n/d,e_minus,NC,1,0.383,0.029,0.013,0.017235
648,5.262,0.559,1.429,F2,n/d,e_minus,NC,1,0.402,0.029,0.013,0.01809
649,5.262,0.547,1.428,F2,n/d,e_minus,NC,1,0.399,0.029,0.012,0.017955
650,5.262,0.535,1.429,F2,n/d,e_minus,NC,1,0.423,0.029,0.012,0.019035
651,5.262,0.524,1.428,F2,n/d,e_minus,NC,1,0.439,0.028,0.012,0.019755
652,5.262,0.512,1.428,F2,n/d,e_minus,NC,1,0.382,0.026,0.01,0.01719
653,5.262,0.501,1.426,F2,n/d,e_minus,NC,1,0.458,0.027,0.011,0.02061
654,5.262,0.49,1.425,F2,n/d,e_minus,NC,1,0.393,0.025,0.009,0.017685
655,5.262,0.481,1.425,F2,n/d,e_minus,NC,1,0.413,0.024,0.009,0.018585
656,5.262,0.471,1.425,F2,n/d,e_minus,NC,1,0.37,0.023,0.008,0.01665
657,5.262,0.461,1.424,F2,n/d,e_minus,NC,1,0.373,0.023,0.007,0.016785
658,5.262,0.453,1.424,F2,n/d,e_minus,NC,1,0.401,0.024,0.008,0.018045
659,5.262,0.443,1.424,F2,n/d,e_minus,NC,1,0.374,0.023,0.007,0.01683
660,5.262,0.434,1.424,F2,n/d,e_minus,NC,1,0.401,0.023,0.007,0.018045
661,5.262,0.426,1.424,F2,n/d,e_minus,NC,1,0.416,0.023,0.007,0.01872
662,5.262,0.417,1.424,F2,n/d,e_minus,NC,1,0.438,0.023,0.007,0.01971
663,5.262,0.41,1.425,F2,n/d,e_minus,NC,1,0.405,0.022,0.006,0.018225
664,5.262,0.401,1.425,F2,n/d,e_minus,NC,1,0.418,0.022,0.006,0.01881
665,5.262,0.394,1.425,F2,n/d,e_minus,NC,1,0.4,0.021,0.006,0.018
666,5.262,0.386,1.426,F2,n/d,e_minus,NC,1,0.351,0.02,0.005,0.015795
667,5.262,0.379,1.427,F2,n/d,e_minus,NC,1,0.385,0.021,0.005,0.017325
668,5.262,0.372,1.427,F2,n/d,e_minus,NC,1,0.367,0.02,0.005,0.016515
669,5.262,0.365,1.428,F2,n/d,e_minus,NC,1,0.388,0.021,0.005,0.01746
670,5.262,0.359,1.429,F2,n/d,e_minus,NC,1,0.41,0.021,0.005,0.01845
671,5.262,0.352,1.43,F2,n/d,e_minus,NC,1,0.381,0.02,0.005,0.017145
672,5.262,0.345,1.431,F2,n/d,e_minus,NC,1,0.424,0.021,0.005,0.01908
673,5.262,0.34,1.431,F2,n/d,e_minus,NC,1,0.419,0.021,0.005,0.018855
674,5.262,0.334,1.432,F2,n/d,e_minus,NC,1,0.447,0.021,0.005,0.020115
675,5.262,0.327,1.431,F2,n/d,e_minus,NC,1,0.387,0.02,0.004,0.017415
676,5.262,0.322,1.432,F2,n/d,e_minus,NC,1,0.457,0.021,0.005,0.020565
677,5.262,0.316,1.431,F2,n/d,e_minus,NC,1,0.455,0.021,0.005,0.020475
678,5.262,0.31,1.431,F2,n/d,e_minus,NC,1,0.397,0.02,0.004,0.017865
679,5.262,0.305,1.43,F2,n/d,e_minus,NC,1,0.404,0.02,0.004,0.01818
680,5.262,0.3,1.431,F2,n/d,e_minus,NC,1,0.431,0.02,0.004,0.019395
